[2025-10-17 04:02:04,361: WARNING: file_download: Xet Storage is enabled for this repo, but the 'hf_xet' package is not installed. Falling back to regular HTTP download. For better performance, install the package with: `pip install huggingface_hub[hf_xet]` or `pip install hf_xet`]
[2025-10-17 04:06:22,629: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-17 04:06:22,634: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-17 04:06:22,635: INFO: common: created directory at: artifacts]
[2025-10-17 04:06:22,637: INFO: common: created directory at: artifacts/model_trainer]
[2025-10-17 04:06:24,582: WARNING: file_download: Xet Storage is enabled for this repo, but the 'hf_xet' package is not installed. Falling back to regular HTTP download. For better performance, install the package with: `pip install huggingface_hub[hf_xet]` or `pip install hf_xet`]
[2025-10-17 04:07:16,846: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-17 04:07:16,851: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-17 04:07:16,852: INFO: common: created directory at: artifacts]
[2025-10-17 04:07:16,852: INFO: common: created directory at: artifacts/model_trainer]
[2025-10-17 04:07:31,153: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-17 04:07:31,156: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-17 04:07:31,159: INFO: common: created directory at: artifacts]
[2025-10-17 04:07:31,160: INFO: common: created directory at: artifacts/model_trainer]
[2025-10-17 04:07:33,124: WARNING: file_download: Xet Storage is enabled for this repo, but the 'hf_xet' package is not installed. Falling back to regular HTTP download. For better performance, install the package with: `pip install huggingface_hub[hf_xet]` or `pip install hf_xet`]
[2025-10-17 04:13:03,110: WARNING: file_download: Xet Storage is enabled for this repo, but the 'hf_xet' package is not installed. Falling back to regular HTTP download. For better performance, install the package with: `pip install huggingface_hub[hf_xet]` or `pip install hf_xet`]
[2025-10-17 04:18:49,973: INFO: config: PyTorch version 2.4.1 available.]
[2025-10-17 04:18:49,984: INFO: config: TensorFlow version 2.13.0 available.]
[2025-10-17 04:18:51,329: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-17 04:18:51,339: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-17 04:18:51,343: INFO: common: created directory at: artifacts]
[2025-10-17 04:18:51,347: INFO: common: created directory at: artifacts/model_trainer]
[2025-10-17 04:18:58,013: WARNING: file_download: Xet Storage is enabled for this repo, but the 'hf_xet' package is not installed. Falling back to regular HTTP download. For better performance, install the package with: `pip install huggingface_hub[hf_xet]` or `pip install hf_xet`]
[2025-10-17 04:30:30,104: INFO: config: PyTorch version 2.4.1 available.]
[2025-10-17 04:30:30,110: INFO: config: TensorFlow version 2.13.0 available.]
[2025-10-17 04:30:41,793: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-17 04:30:41,801: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-17 04:30:41,804: INFO: common: created directory at: artifacts]
[2025-10-17 04:30:41,806: INFO: common: created directory at: artifacts/model_trainer]
